Title_Thresh,Abs_Thresh,Recall (%),Avg_Results
0.57,0.71,98.8,258.686
0.55,0.71,98.8,260.808
0.53,0.71,98.8,261.388
0.51,0.71,98.8,261.81
0.49,0.71,98.8,262.23
0.47,0.71,98.8,262.378
0.35,0.71,98.8,262.682
0.37,0.71,98.8,262.682
0.39,0.71,98.8,262.682
0.41,0.71,98.8,262.682
0.43,0.71,98.8,262.682
0.45,0.71,98.8,262.682
0.57,0.69,98.8,282.846
0.55,0.69,98.8,284.968
0.53,0.69,98.8,285.548
0.51,0.69,98.8,285.97
0.49,0.69,98.8,286.39
0.47,0.69,98.8,286.538
0.35,0.69,98.8,286.842
0.37,0.69,98.8,286.842
0.39,0.69,98.8,286.842
0.41,0.69,98.8,286.842
0.43,0.69,98.8,286.842
0.45,0.69,98.8,286.842
0.57,0.67,98.8,302.88
0.55,0.67,98.8,305.002
0.53,0.67,98.8,305.58
0.51,0.67,98.8,306.002
0.49,0.67,98.8,306.422
0.47,0.67,98.8,306.57
0.35,0.67,98.8,306.874
0.37,0.67,98.8,306.874
0.39,0.67,98.8,306.874
0.41,0.67,98.8,306.874
0.43,0.67,98.8,306.874
0.45,0.67,98.8,306.874
0.57,0.65,98.8,316.216
0.55,0.65,98.8,318.338
0.53,0.65,98.8,318.916
0.51,0.65,98.8,319.338
0.49,0.65,98.8,319.758
0.47,0.65,98.8,319.906
0.35,0.65,98.8,320.21
0.37,0.65,98.8,320.21
0.39,0.65,98.8,320.21
0.41,0.65,98.8,320.21
0.43,0.65,98.8,320.21
0.45,0.65,98.8,320.21
0.57,0.63,98.8,322.954
0.55,0.63,98.8,325.064
0.53,0.63,98.8,325.64
0.51,0.63,98.8,326.062
0.49,0.63,98.8,326.48
0.47,0.63,98.8,326.628
0.35,0.63,98.8,326.93
0.37,0.63,98.8,326.93
0.39,0.63,98.8,326.93
0.41,0.63,98.8,326.93
0.43,0.63,98.8,326.93
0.45,0.63,98.8,326.93
0.57,0.61,98.8,327.048
0.55,0.61,98.8,329.128
0.53,0.61,98.8,329.702
0.51,0.61,98.8,330.12
0.49,0.61,98.8,330.538
0.47,0.61,98.8,330.686
0.35,0.61,98.8,330.988
0.37,0.61,98.8,330.988
0.39,0.61,98.8,330.988
0.41,0.61,98.8,330.988
0.43,0.61,98.8,330.988
0.45,0.61,98.8,330.988
0.57,0.59,98.8,331.04
0.57,0.57,98.8,333.008
0.55,0.59,98.8,333.014
0.53,0.59,98.8,333.584
0.51,0.59,98.8,334.0
0.57,0.55,98.8,334.342
0.49,0.59,98.8,334.416
0.47,0.59,98.8,334.564
0.55,0.57,98.8,334.854
0.35,0.59,98.8,334.866
0.37,0.59,98.8,334.866
0.39,0.59,98.8,334.866
0.41,0.59,98.8,334.866
0.43,0.59,98.8,334.866
0.45,0.59,98.8,334.866
0.57,0.53,98.8,334.91
0.57,0.51,98.8,335.192
0.53,0.57,98.8,335.418
0.57,0.49,98.8,335.632
0.51,0.57,98.8,335.832
0.57,0.47,98.8,336.026
0.57,0.35,98.8,336.086
0.57,0.37,98.8,336.086
0.57,0.39,98.8,336.086
0.57,0.41,98.8,336.086
0.57,0.43,98.8,336.086
0.57,0.45,98.8,336.086
0.55,0.55,98.8,336.094
0.49,0.57,98.8,336.244
0.47,0.57,98.8,336.39
0.53,0.55,98.8,336.608
0.55,0.53,98.8,336.626
0.35,0.57,98.8,336.692
0.37,0.57,98.8,336.692
0.39,0.57,98.8,336.692
0.41,0.57,98.8,336.692
0.43,0.57,98.8,336.692
0.45,0.57,98.8,336.692
0.55,0.51,98.8,336.9
0.51,0.55,98.8,337.006
0.53,0.53,98.8,337.096
0.55,0.49,98.8,337.338
0.53,0.51,98.8,337.36
0.49,0.55,98.8,337.414
0.51,0.53,98.8,337.466
0.47,0.55,98.8,337.558
0.51,0.51,98.8,337.708
0.55,0.47,98.8,337.728
0.53,0.49,98.8,337.782
0.55,0.35,98.8,337.788
0.55,0.37,98.8,337.788
0.55,0.39,98.8,337.788
0.55,0.41,98.8,337.788
0.55,0.43,98.8,337.788
0.55,0.45,98.8,337.788
0.49,0.53,98.8,337.856
0.35,0.55,98.8,337.86
0.37,0.55,98.8,337.86
0.39,0.55,98.8,337.86
0.41,0.55,98.8,337.86
0.43,0.55,98.8,337.86
0.45,0.55,98.8,337.86
0.47,0.53,98.8,337.994
0.49,0.51,98.8,338.09
0.51,0.49,98.8,338.124
0.53,0.47,98.8,338.168
0.47,0.51,98.8,338.224
0.53,0.35,98.8,338.228
0.53,0.37,98.8,338.228
0.53,0.39,98.8,338.228
0.53,0.41,98.8,338.228
0.53,0.43,98.8,338.228
0.53,0.45,98.8,338.228
0.35,0.53,98.8,338.296
0.37,0.53,98.8,338.296
0.39,0.53,98.8,338.296
0.41,0.53,98.8,338.296
0.43,0.53,98.8,338.296
0.45,0.53,98.8,338.296
0.49,0.49,98.8,338.484
0.51,0.47,98.8,338.506
0.35,0.51,98.8,338.524
0.37,0.51,98.8,338.524
0.39,0.51,98.8,338.524
0.41,0.51,98.8,338.524
0.43,0.51,98.8,338.524
0.45,0.51,98.8,338.524
0.51,0.35,98.8,338.566
0.51,0.37,98.8,338.566
0.51,0.39,98.8,338.566
0.51,0.41,98.8,338.566
0.51,0.43,98.8,338.566
0.51,0.45,98.8,338.566
0.47,0.49,98.8,338.61
0.49,0.47,98.8,338.852
0.35,0.49,98.8,338.904
0.37,0.49,98.8,338.904
0.39,0.49,98.8,338.904
0.41,0.49,98.8,338.904
0.43,0.49,98.8,338.904
0.45,0.49,98.8,338.904
0.49,0.35,98.8,338.91
0.49,0.37,98.8,338.91
0.49,0.39,98.8,338.91
0.49,0.41,98.8,338.91
0.49,0.43,98.8,338.91
0.49,0.45,98.8,338.91
0.47,0.47,98.8,338.962
0.47,0.35,98.8,339.012
0.47,0.37,98.8,339.012
0.47,0.39,98.8,339.012
0.47,0.41,98.8,339.012
0.47,0.43,98.8,339.012
0.47,0.45,98.8,339.012
