Title_Thresh,Abs_Thresh,Recall (%),Avg_Results
0.79,0.91,100.0,4.146
0.79,0.93,100.0,4.146
0.79,0.89,100.0,4.148
0.79,0.87,100.0,4.152
0.79,0.85,100.0,4.172
0.79,0.83,100.0,4.312
0.79,0.81,100.0,4.926
0.79,0.79,100.0,7.774
0.77,0.89,100.0,8.734
0.77,0.91,100.0,8.734
0.77,0.93,100.0,8.734
0.77,0.87,100.0,8.736
0.77,0.85,100.0,8.75
0.77,0.83,100.0,8.856
0.77,0.81,100.0,9.34
0.77,0.79,100.0,11.782
0.79,0.77,100.0,17.294
0.75,0.87,100.0,18.5
0.75,0.89,100.0,18.5
0.75,0.91,100.0,18.5
0.75,0.93,100.0,18.5
0.75,0.85,100.0,18.512
0.75,0.83,100.0,18.588
0.75,0.81,100.0,18.972
0.77,0.77,100.0,20.512
0.75,0.79,100.0,20.918
0.75,0.77,100.0,28.486
0.73,0.87,100.0,39.85
0.73,0.89,100.0,39.85
0.73,0.91,100.0,39.85
0.73,0.93,100.0,39.85
0.73,0.85,100.0,39.858
0.73,0.83,100.0,39.91
0.73,0.81,100.0,40.206
0.73,0.79,100.0,41.734
0.79,0.75,100.0,41.776
0.77,0.75,100.0,44.224
0.73,0.77,100.0,47.954
0.75,0.75,100.0,50.63
0.73,0.75,100.0,67.426
0.71,0.87,100.0,74.612
0.71,0.89,100.0,74.612
0.71,0.91,100.0,74.612
0.71,0.93,100.0,74.612
0.71,0.85,100.0,74.618
0.71,0.83,100.0,74.654
0.71,0.81,100.0,74.896
0.71,0.79,100.0,76.202
0.79,0.73,100.0,81.494
0.71,0.77,100.0,81.56
0.77,0.73,100.0,83.494
0.75,0.73,100.0,88.808
0.71,0.75,100.0,98.362
0.73,0.73,100.0,103.024
0.69,0.87,100.0,113.778
0.69,0.89,100.0,113.778
0.69,0.91,100.0,113.778
0.69,0.93,100.0,113.778
0.69,0.85,100.0,113.782
0.69,0.83,100.0,113.818
0.69,0.81,100.0,114.046
0.69,0.79,100.0,115.28
0.69,0.77,100.0,120.35
0.79,0.71,100.0,124.308
0.77,0.71,100.0,126.136
0.71,0.73,100.0,129.998
0.75,0.71,100.0,131.014
0.69,0.75,100.0,135.976
0.73,0.71,100.0,144.052
0.67,0.87,100.0,152.168
0.67,0.89,100.0,152.168
0.67,0.91,100.0,152.168
0.67,0.93,100.0,152.168
0.67,0.85,100.0,152.172
0.67,0.83,100.0,152.206
0.67,0.81,100.0,152.428
0.67,0.79,100.0,153.64
0.67,0.77,100.0,158.632
0.79,0.69,100.0,159.58
0.77,0.69,100.0,161.348
0.69,0.73,100.0,164.448
0.75,0.69,100.0,166.09
0.71,0.71,100.0,168.442
0.67,0.75,100.0,173.888
0.65,0.87,100.0,178.192
0.65,0.89,100.0,178.192
0.65,0.91,100.0,178.192
0.65,0.93,100.0,178.192
0.65,0.85,100.0,178.196
0.65,0.83,100.0,178.23
0.65,0.81,100.0,178.45
0.73,0.69,100.0,178.726
0.65,0.79,100.0,179.654
0.79,0.67,100.0,182.752
0.77,0.67,100.0,184.504
0.65,0.77,100.0,184.624
0.75,0.67,100.0,189.192
0.63,0.87,100.0,191.038
0.63,0.89,100.0,191.038
0.63,0.91,100.0,191.038
0.63,0.93,100.0,191.038
0.63,0.85,100.0,191.042
0.63,0.83,100.0,191.076
0.63,0.81,100.0,191.294
0.63,0.79,100.0,192.498
0.79,0.65,100.0,192.694
0.77,0.65,100.0,194.446
0.61,0.87,100.0,196.38
0.61,0.89,100.0,196.38
0.61,0.91,100.0,196.38
0.61,0.93,100.0,196.38
0.61,0.85,100.0,196.384
0.61,0.83,100.0,196.418
0.61,0.81,100.0,196.636
0.79,0.63,100.0,197.368
0.63,0.77,100.0,197.466
0.61,0.79,100.0,197.84
0.59,0.87,100.0,198.504
0.59,0.89,100.0,198.504
0.59,0.91,100.0,198.504
0.59,0.93,100.0,198.504
0.59,0.85,100.0,198.508
0.59,0.83,100.0,198.542
0.69,0.71,100.0,198.748
0.59,0.81,100.0,198.76
0.79,0.61,100.0,198.804
0.77,0.63,100.0,199.12
0.75,0.65,100.0,199.13
0.85,0.59,100.0,199.264
0.83,0.59,100.0,199.294
0.81,0.59,100.0,199.456
0.57,0.87,100.0,199.498
0.57,0.89,100.0,199.498
0.57,0.91,100.0,199.498
0.57,0.93,100.0,199.498
0.57,0.85,100.0,199.502
0.57,0.83,100.0,199.536
0.85,0.57,100.0,199.718
0.55,0.87,100.0,199.744
0.55,0.89,100.0,199.744
0.55,0.91,100.0,199.744
0.55,0.93,100.0,199.744
0.55,0.85,100.0,199.748
0.83,0.57,100.0,199.748
0.57,0.81,100.0,199.754
0.55,0.83,100.0,199.782
0.65,0.75,100.0,199.808
0.81,0.57,100.0,199.91
0.79,0.59,100.0,199.948
0.59,0.79,100.0,199.964
0.35,0.87,100.0,200.0
0.35,0.89,100.0,200.0
0.35,0.91,100.0,200.0
0.35,0.93,100.0,200.0
0.37,0.87,100.0,200.0
0.37,0.89,100.0,200.0
0.37,0.91,100.0,200.0
0.37,0.93,100.0,200.0
0.39,0.87,100.0,200.0
0.39,0.89,100.0,200.0
0.39,0.91,100.0,200.0
0.39,0.93,100.0,200.0
0.41,0.87,100.0,200.0
0.41,0.89,100.0,200.0
0.41,0.91,100.0,200.0
0.41,0.93,100.0,200.0
0.43,0.87,100.0,200.0
0.43,0.89,100.0,200.0
0.43,0.91,100.0,200.0
0.43,0.93,100.0,200.0
0.45,0.87,100.0,200.0
0.45,0.89,100.0,200.0
0.45,0.91,100.0,200.0
0.45,0.93,100.0,200.0
0.47,0.87,100.0,200.0
0.47,0.89,100.0,200.0
0.47,0.91,100.0,200.0
0.47,0.93,100.0,200.0
0.49,0.87,100.0,200.0
0.49,0.89,100.0,200.0
0.49,0.91,100.0,200.0
0.49,0.93,100.0,200.0
0.51,0.87,100.0,200.0
0.51,0.89,100.0,200.0
0.51,0.91,100.0,200.0
0.51,0.93,100.0,200.0
0.53,0.87,100.0,200.0
0.53,0.89,100.0,200.0
0.53,0.91,100.0,200.0
0.53,0.93,100.0,200.0
0.55,0.81,100.0,200.0
0.85,0.55,100.0,200.0
0.35,0.85,100.0,200.004
0.37,0.85,100.0,200.004
0.39,0.85,100.0,200.004
0.41,0.85,100.0,200.004
0.43,0.85,100.0,200.004
0.45,0.85,100.0,200.004
0.47,0.85,100.0,200.004
0.49,0.85,100.0,200.004
0.51,0.85,100.0,200.004
0.53,0.85,100.0,200.004
0.83,0.55,100.0,200.03
0.35,0.83,100.0,200.038
0.37,0.83,100.0,200.038
0.39,0.83,100.0,200.038
0.41,0.83,100.0,200.038
0.43,0.83,100.0,200.038
0.45,0.83,100.0,200.038
0.47,0.83,100.0,200.038
0.49,0.83,100.0,200.038
0.51,0.83,100.0,200.038
0.53,0.83,100.0,200.038
0.85,0.35,100.0,200.08
0.85,0.37,100.0,200.08
0.85,0.39,100.0,200.08
0.85,0.41,100.0,200.08
0.85,0.43,100.0,200.08
0.85,0.45,100.0,200.08
0.85,0.47,100.0,200.08
0.85,0.49,100.0,200.08
0.85,0.51,100.0,200.08
0.85,0.53,100.0,200.08
0.83,0.35,100.0,200.11
0.83,0.37,100.0,200.11
0.83,0.39,100.0,200.11
0.83,0.41,100.0,200.11
0.83,0.43,100.0,200.11
0.83,0.45,100.0,200.11
0.83,0.47,100.0,200.11
0.83,0.49,100.0,200.11
0.83,0.51,100.0,200.11
0.83,0.53,100.0,200.11
0.81,0.55,100.0,200.192
0.35,0.81,100.0,200.256
0.37,0.81,100.0,200.256
0.39,0.81,100.0,200.256
0.41,0.81,100.0,200.256
0.43,0.81,100.0,200.256
0.45,0.81,100.0,200.256
0.47,0.81,100.0,200.256
0.49,0.81,100.0,200.256
0.51,0.81,100.0,200.256
0.53,0.81,100.0,200.256
0.81,0.35,100.0,200.272
0.81,0.37,100.0,200.272
0.81,0.39,100.0,200.272
0.81,0.41,100.0,200.272
0.81,0.43,100.0,200.272
0.81,0.45,100.0,200.272
0.81,0.47,100.0,200.272
0.81,0.49,100.0,200.272
0.81,0.51,100.0,200.272
0.81,0.53,100.0,200.272
0.79,0.57,100.0,200.402
